job_title,seniority_level,years_of_experience,education_level,field_of_study,gpa,industry,company_size,location,skills,num_skills,num_projects,num_publications,num_internships,has_leadership_experience,has_open_source_contributions,certifications,annual_salary_usd
Product Manager,Lead,5,Master,Information Technology,3.5,Pharmaceuticals,Small (50-200),"Los Angeles, CA",Data Visualization|Agile|Deep Learning|Scala,4,3,0,2,1,0,Google Cloud Certified,191053
Data Scientist,Senior,7,Master,Mechanical Engineering,3.67,Aerospace,Medium (200-1000),"Chicago, IL",SQL|Scrum|C++|Power BI|GCP|Node.js|Hadoop|Azure,8,3,0,1,1,0,Google Cloud Certified,189356
Security Engineer,Principal,9,MBA,Data Science,2.93,Education,Enterprise (5000+),"Los Angeles, CA",R|Scrum|C++|PyTorch|SQL,5,5,0,0,1,1,PMP,218895
Frontend Developer,Intern,17,Bachelor,Statistics,3.58,Education,Large (1000-5000),"Atlanta, GA",CI/CD|React|Kubernetes|NLP|Data Visualization|Java,6,8,0,0,0,0,None,99555
Data Scientist,Lead,0,Master,Physics,2.94,Media,Small (50-200),"Los Angeles, CA",Python|Leadership|Azure|C++|PyTorch,5,8,0,1,0,0,Google Cloud Certified,156791
Software Engineer,Mid-level,7,Associate,Information Technology,3.93,Healthcare,Startup (<50),"Berlin, Germany",Python|CI/CD|AWS,3,8,0,2,1,0,None,86591
Security Engineer,Mid-level,22,MBA,Computer Science,3.39,Retail,Large (1000-5000),"Austin, TX",Hadoop|Power BI|Scrum|Communication|Leadership|Node.js,6,0,10,1,1,0,CISSP,207839
Security Engineer,Principal,8,MBA,Business Administration,3.54,Telecommunications,Small (50-200),"Toronto, Canada",NLP|React|Linux|Hadoop|Java,5,1,0,2,0,0,None,181306
UI/UX Designer,Junior,2,Master,Data Science,3.74,Pharmaceuticals,Small (50-200),"Seattle, WA",SQL|Power BI|Machine Learning|Node.js|PyTorch,5,5,0,3,1,0,Azure Certified,128858
Business Analyst,Mid-level,3,Bachelor,Mathematics,3.1,Media,Large (1000-5000),Remote,Deep Learning|JavaScript|NLP,3,3,0,1,0,1,None,129420
Systems Analyst,Mid-level,7,Associate,Mathematics,3.23,Consulting,Enterprise (5000+),"London, UK",Python|SQL|Agile,3,8,12,0,1,0,Google Cloud Certified,146890
Database Administrator,Senior,5,Bachelor,Economics,3.68,Finance,Medium (200-1000),Singapore,JavaScript|GCP|CI/CD|NLP|TensorFlow|Communication,6,1,0,1,0,0,Google Cloud Certified,172942
Database Administrator,Mid-level,8,Bachelor,Data Science,4,Aerospace,Medium (200-1000),"Chicago, IL",Power BI|Node.js|JavaScript|Hadoop|TensorFlow|Scrum,6,5,0,2,0,0,AWS Certified,127698
Embedded Systems Engineer,Lead,2,Bachelor,Business Administration,3.71,Media,Enterprise (5000+),"Seattle, WA",AWS|Kubernetes|Excel|PyTorch|SQL|Linux|Agile|R,8,9,0,0,0,1,AWS Certified,187845
Security Engineer,Lead,14,Bachelor,Information Technology,3.38,Healthcare,Small (50-200),"New York, NY",Node.js|CI/CD|Power BI|Tableau|C++,5,6,0,3,1,1,AWS Certified,209373
AI Researcher,Mid-level,16,Bachelor,Business Administration,3.04,Telecommunications,Startup (<50),"Toronto, Canada",PyTorch|Azure|Scala|R|Linux,5,4,0,0,0,0,AWS Certified,115131
Product Manager,Senior,7,MBA,Cognitive Science,3.02,Manufacturing,Large (1000-5000),"Chicago, IL",Kubernetes|Scrum|AWS|R|C++|Power BI|Hadoop|TensorFlow,8,3,0,1,0,0,None,162149
ML Engineer,Mid-level,6,MBA,Business Administration,3.35,Retail,Small (50-200),"Austin, TX",JavaScript|Spark|Go|PyTorch|Tableau|Hadoop,6,3,0,1,0,1,Data Science Certifications,125799
Embedded Systems Engineer,Lead,4,Master,Other,3.52,Pharmaceuticals,Startup (<50),"Los Angeles, CA",CI/CD|NLP|TensorFlow|Excel|Spark|React|GCP|R,8,6,0,2,1,1,Multiple Certs,186170
Backend Developer,Senior,5,Bachelor,Data Science,3.12,Finance,Startup (<50),Singapore,SQL|Excel|Node.js|NLP|CI/CD,5,7,0,1,0,0,AWS Certified,135635
Data Analyst,Junior,5,Bachelor,Electrical Engineering,3.86,Retail,Startup (<50),"New York, NY",Data Visualization|Scala|JavaScript|TensorFlow|Spark|Java,6,5,3,1,0,0,AWS Certified,109526
Backend Developer,Junior,3,Bachelor,Physics,3.27,Pharmaceuticals,Large (1000-5000),"Seattle, WA",NLP|Kubernetes|PyTorch|SQL|Agile|Tableau,6,2,9,2,0,0,AWS Certified,134298
Network Engineer,Mid-level,6,Master,Computer Science,3.72,Technology,Large (1000-5000),Remote,Scala|Java|C++|JavaScript|Spark|Node.js|Go,7,9,0,0,0,0,None,151551
DevOps Engineer,Lead,5,Master,Physics,3.45,Technology,Medium (200-1000),"Toronto, Canada",PyTorch|Power BI|C++|Excel|Kubernetes|TensorFlow,6,7,0,3,0,1,None,187752
Mobile Developer,Intern,3,Master,Other,3.24,Automotive,Small (50-200),"Toronto, Canada",C++|Communication|Docker|Scrum|Excel|Scala,6,8,0,2,0,0,None,76723
Network Engineer,Mid-level,10,Master,Other,3.13,Telecommunications,Startup (<50),"Toronto, Canada",Python|PyTorch|Scala|TensorFlow|Power BI,5,6,0,0,0,0,Google Cloud Certified,108581
Data Analyst,Mid-level,4,Master,Business Administration,3.04,Healthcare,Small (50-200),"Berlin, Germany",Git|Power BI|React|PyTorch|Machine Learning|C++|Data Visualization|Java,8,4,14,0,1,1,PMP,128797
Data Scientist,VP,6,Bachelor,Information Technology,3.35,Consulting,Large (1000-5000),"Boston, MA",Power BI|Git|Agile|Communication,4,4,0,2,0,0,None,269701
AI Researcher,Lead,2,Bachelor,Computer Science,3.15,Media,Large (1000-5000),"Denver, CO",Hadoop|Docker|Java|Leadership,4,4,0,1,0,1,Google Cloud Certified,153357
Database Administrator,Mid-level,19,Bachelor,Physics,3.62,Manufacturing,Large (1000-5000),"Boston, MA",Linux|Node.js|PyTorch|R|Power BI|Machine Learning,6,5,0,2,0,0,None,169621
Backend Developer,Mid-level,3,Bachelor,Mathematics,3.74,E-commerce,Startup (<50),"Atlanta, GA",Excel|JavaScript|Node.js|Deep Learning|R,5,2,0,2,0,1,None,105816
Security Engineer,Staff,7,PhD,Economics,3.08,Retail,Large (1000-5000),"Denver, CO",AWS|GCP|C++|Java|Communication|Scala|PyTorch,7,4,0,3,0,1,PMP,211115
Full Stack Developer,Mid-level,0,MBA,Other,3.29,Aerospace,Large (1000-5000),"Berlin, Germany",Machine Learning|JavaScript|Communication,3,8,0,0,1,1,Data Science Certifications,132201
Database Administrator,CTO/CXO,2,Bachelor,Cognitive Science,3.4,Pharmaceuticals,Small (50-200),"New York, NY",Go|Deep Learning|Docker|Excel|Machine Learning|GCP|JavaScript|React,8,0,0,1,0,0,CISSP,323765
Product Manager,Mid-level,12,Bachelor,Other,3.52,Government,Medium (200-1000),"Denver, CO",Deep Learning|GCP|CI/CD|Data Visualization|Kubernetes|Linux,6,7,0,1,0,0,None,127952
Mobile Developer,Junior,6,Bachelor,Cognitive Science,3.03,Healthcare,Large (1000-5000),"Bangalore, India",NLP|AWS|Azure,3,4,0,0,0,0,None,62725
UI/UX Designer,Lead,7,PhD,Mechanical Engineering,3.35,Energy,Medium (200-1000),"Austin, TX",Scala|GCP|Git|Kubernetes|Spark|Data Visualization|Node.js|Python,8,9,0,1,1,1,Google Cloud Certified,220557
DevOps Engineer,Senior,3,Bachelor,Other,4,Energy,Large (1000-5000),"Los Angeles, CA",Node.js|NLP|AWS|React|Power BI|CI/CD|Communication,7,3,0,1,0,1,Data Science Certifications,170853
Network Engineer,CTO/CXO,8,PhD,Economics,3.76,Aerospace,Medium (200-1000),"Los Angeles, CA",Go|TensorFlow|Git|Scrum|CI/CD,5,8,0,0,1,0,None,387818
Full Stack Developer,Principal,8,Bachelor,Mathematics,3.28,Manufacturing,Medium (200-1000),"New York, NY",Hadoop|Machine Learning|Java|Python|Linux,5,5,10,1,1,1,Data Science Certifications,232934
DevOps Engineer,Senior,7,MBA,Economics,3.08,Education,Enterprise (5000+),"San Francisco, CA",GCP|Kubernetes|Data Visualization|PyTorch|TensorFlow|Docker|R,7,2,0,0,1,0,None,186182
Data Scientist,Lead,14,MBA,Other,3.95,E-commerce,Medium (200-1000),Singapore,R|Agile|Power BI|Data Visualization,4,0,0,0,0,1,None,218104
Frontend Developer,Principal,4,MBA,Economics,3.16,E-commerce,Large (1000-5000),"New York, NY",Deep Learning|Python|Docker|Communication,4,8,0,2,1,0,None,240505
Business Analyst,Senior,2,MBA,Economics,3.29,Consulting,Medium (200-1000),"London, UK",JavaScript|Machine Learning|Scala,3,2,0,0,0,0,PMP,146119
DevOps Engineer,Mid-level,11,Bachelor,Physics,3.69,Finance,Small (50-200),"Austin, TX",PyTorch|Machine Learning|Linux|Data Visualization|JavaScript|Go,6,4,0,0,1,0,PMP,142311
Network Engineer,Mid-level,13,Master,Physics,3.62,Consulting,Enterprise (5000+),"Berlin, Germany",GCP|Linux|Kubernetes|Leadership|Excel,5,4,0,1,0,0,Scrum Master,149413
Security Engineer,Mid-level,1,Master,Computer Science,3.98,Retail,Startup (<50),Remote,Node.js|Hadoop|SQL|Azure|Data Visualization|Java,6,3,0,2,1,0,None,97060
Data Scientist,Staff,11,MBA,Statistics,3.03,Automotive,Small (50-200),"Los Angeles, CA",AWS|Hadoop|Agile|Python|Docker|Tableau,6,8,0,0,0,0,None,231173
Business Analyst,Senior,13,Bachelor,Economics,2.88,Manufacturing,Large (1000-5000),"Seattle, WA",R|Deep Learning|Power BI,3,6,0,0,1,0,CISSP,189144
DevOps Engineer,Mid-level,5,Bachelor,Mathematics,3.48,Media,Large (1000-5000),"Seattle, WA",Machine Learning|JavaScript|NLP|Node.js|Go|Tableau|Azure|Scrum,8,5,0,2,0,0,Scrum Master,157577
Mobile Developer,Principal,4,Master,Mathematics,3.9,Pharmaceuticals,Small (50-200),"Chicago, IL",React|Communication|Linux|SQL|TensorFlow|Kubernetes,6,7,0,1,0,1,CISSP,194613
Systems Analyst,Intern,14,Bachelor,Mechanical Engineering,2.76,Media,Large (1000-5000),Singapore,Excel|Kubernetes|Docker|SQL|C++|Node.js|React,7,0,0,3,0,1,PMP,105918
Database Administrator,Senior,7,MBA,Other,3.97,Automotive,Enterprise (5000+),"Chicago, IL",Hadoop|Node.js|Git|Power BI|Go|Java|Scala,7,2,0,3,0,0,None,187374
Full Stack Developer,Staff,7,Bachelor,Economics,3.48,E-commerce,Enterprise (5000+),"Austin, TX",Agile|Git|React,3,5,0,1,0,0,PMP,212952
Mobile Developer,Senior,1,Associate,Other,3.43,E-commerce,Startup (<50),"London, UK",Agile|Git|Go|CI/CD,4,7,0,2,0,0,CISSP,127474
Full Stack Developer,Mid-level,4,Master,Electrical Engineering,4,Automotive,Startup (<50),Remote,C++|Hadoop|Data Visualization|Deep Learning|React|Machine Learning|Leadership,7,5,0,1,0,0,None,130670
Systems Analyst,Senior,26,MBA,Physics,3.67,Energy,Medium (200-1000),"Boston, MA",Leadership|Power BI|PyTorch,3,5,0,1,1,1,None,238762
QA Engineer,Lead,6,Master,Other,2.8,Retail,Medium (200-1000),"Austin, TX",Linux|Node.js|JavaScript|Power BI|Python,5,6,0,1,0,0,None,158140
Network Engineer,Senior,5,PhD,Mechanical Engineering,3.98,Healthcare,Startup (<50),"New York, NY",Docker|SQL|C++|Azure|Excel|Spark|Hadoop,7,8,0,0,1,0,None,185462
Database Administrator,Intern,3,Bachelor,Physics,3.36,Healthcare,Small (50-200),"San Francisco, CA",NLP|SQL|Scrum|Python,4,7,0,0,1,0,None,81892
QA Engineer,Junior,5,Bachelor,Mathematics,3.39,Technology,Enterprise (5000+),"San Francisco, CA",Git|JavaScript|Hadoop|SQL,4,9,12,1,1,0,Azure Certified,176571
Data Analyst,Lead,7,Bachelor,Information Technology,4,Education,Medium (200-1000),"Bangalore, India",Leadership|C++|R|NLP|Tableau|Spark,6,8,0,1,1,1,None,131112
Database Administrator,Senior,8,Associate,Cognitive Science,3.66,Finance,Small (50-200),"Seattle, WA",GCP|Machine Learning|React|Excel|Scala|Git|Tableau,7,2,0,2,0,0,None,159878
QA Engineer,Principal,6,Associate,Business Administration,3.25,Telecommunications,Small (50-200),"Austin, TX",PyTorch|Python|Kubernetes|Spark,4,3,0,0,0,1,CISSP,163904
Software Engineer,Lead,3,High School,Electrical Engineering,3.2,E-commerce,Large (1000-5000),Remote,SQL|PyTorch|Power BI|Excel|TensorFlow|Tableau|Communication|AWS,8,6,0,3,0,0,PMP,167146
Backend Developer,Senior,11,Bachelor,Data Science,3.97,Manufacturing,Medium (200-1000),"Los Angeles, CA",NLP|AWS|Power BI,3,4,0,0,0,0,CISSP,155312
Data Analyst,Director,4,MBA,Electrical Engineering,3.09,Telecommunications,Medium (200-1000),"San Francisco, CA",PyTorch|SQL|JavaScript|TensorFlow|Python|Tableau|CI/CD,7,3,0,0,1,0,Google Cloud Certified,247085
Software Engineer,Intern,9,Master,Mathematics,2.97,Energy,Medium (200-1000),"New York, NY",JavaScript|Leadership|SQL|NLP|Tableau|TensorFlow|Spark,7,3,0,3,1,0,CISSP,136467
Security Engineer,Junior,17,Bachelor,Information Technology,3.8,Telecommunications,Small (50-200),"San Francisco, CA",Scrum|AWS|Hadoop|Deep Learning|GCP|Communication|Scala|Node.js,8,0,0,1,0,1,PMP,144538
Full Stack Developer,Lead,11,Bachelor,Other,2.99,Government,Large (1000-5000),"Los Angeles, CA",GCP|Kubernetes|Git|Docker|Data Visualization|Spark|CI/CD|TensorFlow,8,2,0,2,1,0,PMP,183490
Cloud Architect,Junior,9,High School,Economics,2.83,Pharmaceuticals,Large (1000-5000),"London, UK",TensorFlow|Go|Azure|GCP|Scala|Node.js|Python|React,8,6,0,1,0,1,None,115418
Embedded Systems Engineer,Lead,14,Bachelor,Statistics,3.25,Retail,Startup (<50),"New York, NY",JavaScript|Agile|NLP|Data Visualization|AWS|Scala,6,7,0,2,1,0,AWS Certified,190472
UI/UX Designer,CTO/CXO,5,Bachelor,Cognitive Science,3.76,Finance,Small (50-200),Singapore,Tableau|Python|SQL,3,1,0,1,1,0,Data Science Certifications,324404
Full Stack Developer,Staff,16,Bachelor,Business Administration,3.18,Healthcare,Startup (<50),Singapore,Linux|Azure|PyTorch|Scrum|Git,5,7,0,1,1,1,Google Cloud Certified,200366
Product Manager,Senior,5,Bachelor,Information Technology,3.27,Technology,Startup (<50),"Seattle, WA",Power BI|Tableau|AWS|Hadoop,4,1,11,1,1,0,Multiple Certs,181007
Product Manager,Director,7,PhD,Statistics,4,Healthcare,Enterprise (5000+),Singapore,Deep Learning|JavaScript|Communication|Git|AWS,5,4,0,0,1,1,AWS Certified,279739
Software Engineer,Junior,17,Bachelor,Data Science,3.37,E-commerce,Medium (200-1000),"Chicago, IL",JavaScript|TensorFlow|Linux|Node.js|Agile,5,5,0,3,0,0,CISSP,139179
ML Engineer,Senior,3,Bachelor,Data Science,2.99,Finance,Small (50-200),Remote,Kubernetes|Linux|Power BI|NLP|Node.js|Excel|Azure,7,3,0,1,1,1,None,166396
Business Analyst,Senior,9,Bachelor,Information Technology,3.23,Automotive,Enterprise (5000+),"Bangalore, India",Docker|Data Visualization|React|Deep Learning|Tableau,5,4,0,0,0,1,None,118767
Backend Developer,Mid-level,10,Bachelor,Information Technology,3.1,Government,Medium (200-1000),"San Francisco, CA",Power BI|Excel|Agile|Docker|Go|Linux|C++|Communication,8,3,0,0,0,1,PMP,125122
Data Analyst,Intern,4,Bachelor,Information Technology,3.11,Media,Large (1000-5000),"New York, NY",AWS|Power BI|R|Java|GCP|PyTorch|Excel,7,5,0,1,0,0,CISSP,99853
Backend Developer,Director,13,Bachelor,Electrical Engineering,3.09,Media,Enterprise (5000+),"Bangalore, India",Scrum|Linux|Spark|Azure|Deep Learning|CI/CD|GCP|Node.js,8,8,0,3,0,0,Google Cloud Certified,208819
Data Analyst,Principal,10,High School,Information Technology,3.22,Healthcare,Enterprise (5000+),Remote,Kubernetes|Docker|Tableau|NLP|AWS,5,0,0,1,0,0,Azure Certified,214178
Full Stack Developer,Lead,2,Bachelor,Mechanical Engineering,3.07,Education,Enterprise (5000+),"London, UK",Leadership|CI/CD|Communication,3,2,0,2,0,0,Azure Certified,145642
Security Engineer,Junior,2,Bachelor,Cognitive Science,3.66,Pharmaceuticals,Enterprise (5000+),"Seattle, WA",Kubernetes|Communication|Tableau|Docker|Leadership|Data Visualization,6,4,0,1,1,0,None,149801
Data Scientist,Senior,12,Bachelor,Statistics,3.3,Finance,Large (1000-5000),"Denver, CO",Excel|NLP|Power BI,3,5,0,5,0,0,CFA,186354
Software Engineer,Director,3,MBA,Mechanical Engineering,3.04,Finance,Small (50-200),"Los Angeles, CA",Scrum|Azure|Communication|GCP|AWS|Scala|Tableau,7,8,0,0,0,1,CFA,257362
Systems Analyst,Lead,2,Bachelor,Physics,2.74,Education,Small (50-200),"Boston, MA",Azure|Python|Git|NLP|Deep Learning|Tableau|Go,7,1,0,1,0,0,AWS Certified,146216
ML Engineer,Senior,8,Master,Statistics,3.83,E-commerce,Medium (200-1000),"Atlanta, GA",Linux|Agile|NLP|C++|Java|Kubernetes,6,9,0,3,1,1,None,193569
Product Manager,Director,1,Bachelor,Business Administration,3.2,Pharmaceuticals,Enterprise (5000+),Remote,PyTorch|Kubernetes|Docker|Python,4,3,0,1,1,0,None,214431
Security Engineer,Senior,2,Bachelor,Other,3.3,Media,Small (50-200),Remote,CI/CD|Scrum|Git|Scala|Tableau,5,1,0,1,0,0,None,106066
Full Stack Developer,Senior,16,Bachelor,Information Technology,4,Finance,Small (50-200),"Atlanta, GA",GCP|PyTorch|Scrum|Data Visualization|AWS|Excel|Tableau,7,4,0,2,0,1,Multiple Certs,170431
Product Manager,Mid-level,4,Bachelor,Cognitive Science,3.54,Energy,Large (1000-5000),"Denver, CO",Communication|R|Data Visualization|Deep Learning|Tableau,5,3,0,1,1,0,Scrum Master,127039
Software Engineer,Senior,11,PhD,Cognitive Science,3.5,Retail,Small (50-200),Singapore,Scala|Power BI|Git|AWS|NLP,5,7,0,0,0,0,Scrum Master,173017
Product Manager,Lead,6,Bachelor,Business Administration,3.54,Government,Large (1000-5000),"Los Angeles, CA",Data Visualization|React|Docker|Linux|C++|Deep Learning,6,8,4,4,0,0,Scrum Master,165286
ML Engineer,Mid-level,8,Bachelor,Statistics,3.24,Government,Large (1000-5000),"Berlin, Germany",GCP|Go|Docker|Tableau|Spark,5,0,0,1,1,0,AWS Certified,103383
Database Administrator,Senior,3,Master,Data Science,3.82,Government,Medium (200-1000),"Los Angeles, CA",Azure|Scrum|TensorFlow|Tableau|NLP|Agile,6,0,0,0,1,0,None,160444
Mobile Developer,Mid-level,4,Bachelor,Mechanical Engineering,2.82,E-commerce,Medium (200-1000),"Seattle, WA",PyTorch|NLP|Scala|Machine Learning,4,8,0,3,0,0,Azure Certified,130366
Product Manager,Mid-level,9,High School,Physics,2.72,Retail,Medium (200-1000),"Atlanta, GA",Excel|Python|Java|JavaScript|R|Docker|Scala,7,7,0,0,0,1,Azure Certified,96660
Software Engineer,Senior,3,Master,Information Technology,2.68,Healthcare,Small (50-200),"Berlin, Germany",Azure|CI/CD|Communication|Deep Learning|React|AWS|Tableau|Linux,8,2,0,1,1,0,Google Cloud Certified,123075
ML Engineer,Mid-level,1,Bachelor,Cognitive Science,3.78,E-commerce,Startup (<50),Remote,Node.js|Scrum|TensorFlow|Docker|C++|React,6,1,11,1,1,0,Multiple Certs,136662
Mobile Developer,Director,3,MBA,Data Science,2.64,Pharmaceuticals,Small (50-200),"Toronto, Canada",R|Data Visualization|SQL|AWS|JavaScript|TensorFlow,6,5,0,3,1,1,Google Cloud Certified,232346
Backend Developer,Mid-level,10,Bachelor,Computer Science,3.38,Consulting,Large (1000-5000),"New York, NY",Docker|Leadership|NLP,3,6,1,2,0,0,AWS Certified,148852
Data Analyst,Senior,3,Master,Physics,3.28,Technology,Large (1000-5000),"London, UK",PyTorch|SQL|CI/CD|Leadership|Kubernetes|Spark|Scrum|Agile,8,2,0,1,0,0,None,168042
Database Administrator,Mid-level,2,PhD,Computer Science,3.78,Energy,Medium (200-1000),"Bangalore, India",Data Visualization|Docker|Deep Learning|CI/CD|Communication,5,2,0,0,0,0,AWS Certified,84851
Database Administrator,Mid-level,4,MBA,Information Technology,2.91,Manufacturing,Startup (<50),"Berlin, Germany",React|Agile|GCP|Docker,4,7,0,0,1,1,Azure Certified,110960
Business Analyst,Mid-level,9,Master,Mathematics,3.55,Energy,Startup (<50),"Toronto, Canada",Leadership|Machine Learning|Docker|Linux|Node.js|Communication,6,3,0,0,0,0,None,126114
QA Engineer,Director,4,Bachelor,Cognitive Science,3.24,Healthcare,Enterprise (5000+),"Atlanta, GA",Communication|Scala|Linux|Spark|R,5,8,0,1,1,1,AWS Certified,225652
Embedded Systems Engineer,Senior,14,Bachelor,Information Technology,3.11,Pharmaceuticals,Small (50-200),"Los Angeles, CA",SQL|Agile|Scala|JavaScript|R,5,5,0,0,1,0,None,172654
Backend Developer,Principal,10,MBA,Statistics,3.15,Technology,Small (50-200),"Seattle, WA",Python|Data Visualization|Go|C++|Kubernetes,5,8,12,1,1,1,Data Science Certifications,258821
UI/UX Designer,Mid-level,12,Bachelor,Economics,3.54,Technology,Startup (<50),"New York, NY",Leadership|SQL|Agile,3,7,0,1,1,1,CFA,168669
AI Researcher,Junior,10,MBA,Business Administration,3.59,Technology,Large (1000-5000),Singapore,CI/CD|React|Linux|SQL|Git|Power BI|Kubernetes,7,1,0,1,0,0,None,170783
DevOps Engineer,Principal,6,Master,Business Administration,3.33,Retail,Large (1000-5000),"Los Angeles, CA",Node.js|Machine Learning|Spark|Python|Power BI,5,0,0,0,1,0,CISSP,202617
ML Engineer,Senior,11,Master,Cognitive Science,2.93,Education,Enterprise (5000+),"Boston, MA",Deep Learning|SQL|Machine Learning|Tableau|Azure|CI/CD|Node.js,7,2,0,1,0,1,PMP,173663
Backend Developer,Senior,3,Bachelor,Statistics,3.45,Government,Enterprise (5000+),"San Francisco, CA",Go|NLP|R|AWS,4,1,0,0,0,1,Google Cloud Certified,158691
QA Engineer,Mid-level,3,Associate,Electrical Engineering,3.65,Education,Startup (<50),"Denver, CO",Scrum|Linux|C++,3,1,0,4,0,1,None,85436
Database Administrator,Junior,4,Master,Statistics,3.31,Technology,Enterprise (5000+),Singapore,Linux|Spark|Docker|Node.js,4,5,5,0,0,1,Google Cloud Certified,155301
Cloud Architect,Senior,21,PhD,Mathematics,3.96,E-commerce,Enterprise (5000+),"San Francisco, CA",Python|Go|R,3,6,0,0,0,1,Azure Certified,258710
DevOps Engineer,Staff,18,MBA,Data Science,3.14,Education,Medium (200-1000),"Berlin, Germany",Excel|Docker|Deep Learning,3,0,4,0,1,1,Scrum Master,229338
QA Engineer,Junior,3,MBA,Computer Science,3.4,Manufacturing,Small (50-200),Remote,Scala|Leadership|Docker|C++|React|Java,6,7,0,0,0,1,None,107718
Backend Developer,Director,5,Master,Computer Science,2.99,Education,Small (50-200),"Chicago, IL",Spark|Power BI|Linux|SQL,4,0,0,0,0,0,Google Cloud Certified,176042
Embedded Systems Engineer,Mid-level,7,Bachelor,Physics,3.72,Media,Enterprise (5000+),"Atlanta, GA",Power BI|Kubernetes|Tableau|Git|SQL,5,4,0,2,1,0,Azure Certified,122696
Data Scientist,Senior,2,MBA,Data Science,3.07,Education,Enterprise (5000+),"Los Angeles, CA",Agile|SQL|Python|Node.js,4,7,0,2,0,1,Azure Certified,164060
Business Analyst,Junior,8,Bachelor,Mechanical Engineering,3.19,Media,Enterprise (5000+),"London, UK",Machine Learning|C++|Leadership,3,9,14,1,0,1,AWS Certified,124503
QA Engineer,Senior,6,Bachelor,Cognitive Science,3.27,Aerospace,Medium (200-1000),"London, UK",NLP|Java|TensorFlow|Scrum,4,8,3,5,0,0,PMP,163262
Frontend Developer,Junior,11,Master,Other,3.23,Automotive,Large (1000-5000),Singapore,R|Linux|PyTorch,3,0,0,1,0,0,CFA,137728
Security Engineer,Junior,2,Master,Other,3.65,Healthcare,Large (1000-5000),"Los Angeles, CA",Communication|Leadership|AWS|TensorFlow|PyTorch,5,9,0,3,1,0,None,155609
Security Engineer,VP,16,Associate,Computer Science,2.89,E-commerce,Medium (200-1000),"Toronto, Canada",Python|Tableau|Java|Kubernetes|SQL,5,7,0,0,0,1,None,273098
AI Researcher,Lead,10,Bachelor,Business Administration,3.59,Media,Enterprise (5000+),"Bangalore, India",Linux|JavaScript|Data Visualization,3,0,0,1,1,1,CFA,155493
Cloud Architect,Lead,5,Master,Computer Science,2.56,Government,Enterprise (5000+),"Denver, CO",Excel|React|Python,3,9,0,1,0,0,None,152156
Backend Developer,Junior,9,PhD,Other,3.65,Finance,Small (50-200),"Austin, TX",GCP|Git|Machine Learning|Deep Learning|Scrum|NLP|Power BI,7,8,0,1,1,0,AWS Certified,155225
Software Engineer,Director,7,Bachelor,Business Administration,3.15,Manufacturing,Small (50-200),"Berlin, Germany",Leadership|Java|Agile,3,2,9,1,0,1,PMP,202985
Software Engineer,Senior,6,Master,Business Administration,4,Healthcare,Large (1000-5000),"Los Angeles, CA",Communication|Azure|Excel|Scrum|R|Node.js,6,6,0,4,0,0,Multiple Certs,189836
